Anno;Codice Scuola;Nome Scuola;Tipo;Num Libri
2026/2027;CZMM00300E;;Media;272
2026/2027;CZMM85201Q;;Media;518
2026/2027;CZMM85801P;;Media;273
2026/2027;CZMM86001P;;Media;318
2026/2027;CZMM86701D;;Media;237
2026/2027;CZPC09000X;;Superiore;479
2026/2027;CZPM00101D;;Superiore;490
2026/2027;CZPM02201E;;Superiore;749
2026/2027;CZPS00101C;;Superiore;644
2026/2027;CZPS02201D;;Superiore;677
2026/2027;CZRC02401N;;Superiore;126
2026/2027;CZRI02401A;;Superiore;89
2026/2027;CZSL02201A;;Superiore;155
2026/2027;CZTA021035;;Superiore;283
2026/2027;CZTD024011;;Superiore;504
2026/2027;CZTE021011;;Superiore;458
2026/2027;CZTL02401B;;Superiore;125
2025/2026;CZ1M00100B;;Superiore;39
2025/2026;CZ1M002007;;Superiore;39
2025/2026;CZ1MBR5002;;Superiore;46
2025/2026;CZMM00300E;;Media;278
2025/2026;CZMM813015;;Media;39
2025/2026;CZMM813026;;Media;39
2025/2026;CZMM813037;;Media;39
2025/2026;CZMM814011;;Media;39
2025/2026;CZMM814022;;Media;39
2025/2026;CZMM814033;;Media;39
2025/2026;CZMM814044;;Media;39
2025/2026;CZMM814055;;Media;39
2025/2026;CZMM81501R;;Media;78
2025/2026;CZMM81502T;;Media;43
2025/2026;CZMM818018;;Media;46
2025/2026;CZMM818029;;Media;77
2025/2026;CZMM81803A;;Media;82
2025/2026;CZMM821014;;Media;105
2025/2026;CZMM821036;;Media;44
2025/2026;CZMM821047;;Media;41
2025/2026;CZMM82201X;;Media;117
2025/2026;CZMM82401G;;Media;92
2025/2026;CZMM82402L;;Media;78
2025/2026;CZMM82501B;;Media;104
2025/2026;CZMM82502C;;Media;78
2025/2026;CZMM82503D;;Media;78
2025/2026;CZMM82901P;;Media;126
2025/2026;CZMM82902Q;;Media;84
2025/2026;CZMM83001V;;Media;52
2025/2026;CZMM83002X;;Media;39
2025/2026;CZMM830031;;Media;78
2025/2026;CZMM835012;;Media;86
2025/2026;CZMM835034;;Media;43
2025/2026;CZMM835045;;Media;84
2025/2026;CZMM835056;;Media;28
2025/2026;CZMM835067;;Media;42
2025/2026;CZMM839019;;Media;126
2025/2026;CZMM83903B;;Media;40
2025/2026;CZMM84001D;;Media;129
2025/2026;CZMM84002E;;Media;42
2025/2026;CZMM842026;;Media;117
2025/2026;CZMM842037;;Media;39
2025/2026;CZMM843011;;Media;104
2025/2026;CZMM843022;;Media;39
2025/2026;CZMM843033;;Media;39
2025/2026;CZMM843044;;Media;39
2025/2026;CZMM843055;;Media;39
2025/2026;CZMM843066;;Media;48
2025/2026;CZMM843077;;Media;48
2025/2026;CZMM84401R;;Media;165
2025/2026;CZMM84402T;;Media;54
2025/2026;CZMM84403V;;Media;52
2025/2026;CZMM84601C;;Media;117
2025/2026;CZMM84602D;;Media;39
2025/2026;CZMM848014;;Media;133
2025/2026;CZMM848025;;Media;26
2025/2026;CZMM850014;;Media;239
2025/2026;CZMM85201Q;;Media;519
2025/2026;CZMM856013;;Media;312
2025/2026;CZMM85801P;;Media;253
2025/2026;CZMM86001P;;Media;246
2025/2026;CZMM864012;;Media;400
2025/2026;CZMM86501T;;Media;63
2025/2026;CZMM86502V;;Media;39
2025/2026;CZMM86503X;;Media;39
2025/2026;CZMM865041;;Media;39
2025/2026;CZMM86701D;;Media;266
2025/2026;CZMM868019;;Media;256
2025/2026;CZMM869015;;Media;52
2025/2026;CZMM869026;;Media;130
2025/2026;CZMM872011;;Media;114
2025/2026;CZMM872022;;Media;39
2025/2026;CZMM872033;;Media;39
2025/2026;CZMM872044;;Media;39
2025/2026;CZMM87301R;;Media;72
2025/2026;CZMM87302T;;Media;43
2025/2026;CZMM87303V;;Media;28
2025/2026;CZMM873051;;Media;43
2025/2026;CZMM87401L;;Media;400
2025/2026;CZMM87402N;;Media;45
2025/2026;CZPC00500G;;Superiore;76
2025/2026;CZPC02601N;;Superiore;399
2025/2026;CZPC09000X;;Superiore;486
2025/2026;CZPL925000;;Superiore;82
2025/2026;CZPM00101D;;Superiore;466
2025/2026;CZPM00500Q;;Superiore;78
2025/2026;CZPM02201E;;Superiore;694
2025/2026;CZPM02601T;;Superiore;898
2025/2026;CZPS00101C;;Superiore;722
2025/2026;CZPS002018;;Superiore;186
2025/2026;CZPS003014;;Superiore;74
2025/2026;CZPS00701B;;Superiore;162
2025/2026;CZPS011013;;Superiore;135
2025/2026;CZPS01801T;;Superiore;363
2025/2026;CZPS02000R;;Superiore;672
2025/2026;CZPS02201D;;Superiore;699
2025/2026;CZRA00301N;;Superiore;82
2025/2026;CZRA00303Q;;Superiore;132
2025/2026;CZRA007011;;Superiore;63
2025/2026;CZRA007509;;Superiore;60
2025/2026;CZRA01102N;;Superiore;68
2025/2026;CZRC01101G;;Superiore;222
2025/2026;CZRC011511;;Superiore;20
2025/2026;CZRC02401N;;Superiore;137
2025/2026;CZRH01101R;;Superiore;18
2025/2026;CZRH023013;;Superiore;377
2025/2026;CZRH02351C;;Superiore;64
2025/2026;CZRH04000Q;;Superiore;321
2025/2026;CZRH040505;;Superiore;30
2025/2026;CZRI01901V;;Superiore;145
2025/2026;CZRI02401A;;Superiore;98
2025/2026;CZSD00201P;;Superiore;113
2025/2026;CZSL02201A;;Superiore;167
2025/2026;CZTA021035;;Superiore;251
2025/2026;CZTA02301P;;Superiore;66
2025/2026;CZTA023514;;Superiore;14
2025/2026;CZTD002014;;Superiore;116
2025/2026;CZTD00251D;;Superiore;28
2025/2026;CZTD01801N;;Superiore;338
2025/2026;CZTD018513;;Superiore;25
2025/2026;CZTD01901D;;Superiore;534
2025/2026;CZTD024011;;Superiore;474
2025/2026;CZTE021011;;Superiore;460
2025/2026;CZTF003016;;Superiore;59
2025/2026;CZTF00701D;;Superiore;221
2025/2026;CZTF010008;;Superiore;909
2025/2026;CZTF01901Q;;Superiore;536
2025/2026;CZTL01901X;;Superiore;281
2025/2026;CZTL02401B;;Superiore;118
2025/2026;CZTL06000D;;Superiore;489
2025/2026;CZTL06050V;;Superiore;21
